Index,Index,Function Name,Global Minimal,Best Fitness,Number of Evaluations,Closeness to Global Minimal,log
21,21, Hybrid Function 5 (N=5),2100,0.0,0,0.0,
22,22, Hybrid Function 6 (N=5),2200,0.0,0,0.0,
23,23, Composition Function 1 (N=5),2300,2300.0002688965706,5297300,0.9999998830884612,"[[2, 200, 2497.16475854948, 12.007357570711065], [3, 300, 2485.157400978769, 52.86465728297617], [4, 400, 2432.292743695793, 57.97042518421813], [7, 700, 2374.322318511575, 66.45604337104032], [46, 4600, 2307.8662751405345, 2.782703120597944], [64, 6400, 2305.0835720199366, 4.6428806472004], [616, 61600, 2300.440691372736, 0.08581280815951686], [639, 63900, 2300.3548785645767, 0.10993241766209394], [805, 80500, 2300.2449461469146, 0.05219016296678092], [2086, 208600, 2300.192755983948, 0.004764736826928129], [2943, 294300, 2300.187991247121, 0.1088968674644093], [3184, 318400, 2300.0790943796565, 0.038081433388015284], [4526, 452600, 2300.0410129462684, 0.008492756301166082], [17650, 1765000, 2300.0325201899673, 0.027948913867021474], [44151, 4415100, 2300.0045712761003, 0.0015463577137779794], [52973, 5297300, 2300.0030249183865, 0.0027560218159123906]]"
24,24, Composition Function 2 (N=3),2400,2400.0000095802875,9738400,0.9999999960082135,"[[3, 300, 2466.417044369008, 32.06127374018297], [4, 400, 2434.355770628825, 25.95980915122618], [6, 600, 2408.395961477599, 3.7275279309792495], [9, 900, 2404.66843354662, 0.7556826927811926], [12, 1200, 2403.9127508538386, 0.10024795332310532], [15, 1500, 2403.8125029005155, 0.29351488055044683], [21, 2100, 2403.518988019965, 3.0766665474038746], [36, 3600, 2400.442321472561, 0.33055331786908937], [134, 13400, 2400.111768154692, 4.215594026391045e-05], [157, 15700, 2400.111725998752, 0.052909111928784114], [234, 23400, 2400.058816886823, 0.00680567149674971], [243, 24300, 2400.0520112153263, 0.014586353689537646], [391, 39100, 2400.0374248616367, 0.005824818215842242], [420, 42000, 2400.031600043421, 0.010859732508379238], [660, 66000, 2400.0207403109125, 0.009674345532857842], [939, 93900, 2400.0110659653797, 0.006250376603020413], [942, 94200, 2400.0048155887766, 0.0003047284544663853], [2155, 215500, 2400.004510860322, 0.0014218393312148692], [2599, 259900, 2400.003089020991, 0.00255758261482697], [3566, 356600, 2400.000531438376, 5.4835472838021815e-06], [6318, 631800, 2400.000525954829, 2.5378342343174154e-05], [8961, 896100, 2400.0005005764865, 0.000381150302473543], [10613, 1061300, 2400.000119426184, 1.9097573385806754e-05], [15314, 1531400, 2400.0001003286106, 5.3144632147450466e-05], [16273, 1627300, 2400.0000471839785, 1.1890094810951268e-05], [50135, 5013500, 2400.0000352938837, 9.969585789804114e-06], [96630, 9663000, 2400.000025324298, 1.046876423060894e-05], [97384, 9738400, 2400.0000148555337, 5.275246167002479e-06]]"
25,25, Composition Function 3 (N=3),2500,2500.0000772452877,9809100,0.9999999691018859,"[[1, 100, 2627.2364765940297, 39.7859901941365], [2, 200, 2587.450486399893, 3.9020289767777285], [3, 300, 2583.5484574231155, 1.519812843395357], [24, 2400, 2582.02864457972, 33.27976661285493], [31, 3100, 2548.748877966865, 6.116167064669298], [32, 3200, 2542.632710902196, 0.4714272550163514], [33, 3300, 2542.1612836471795, 5.106025847047022], [37, 3700, 2537.0552578001325, 4.196512382243782], [45, 4500, 2532.8587454178887, 11.02888306279283], [49, 4900, 2521.829862355096, 15.534182165716174], [50, 5000, 2506.2956801893797, 1.8402930096817727], [56, 5600, 2504.455387179698, 0.10744112745078382], [59, 5900, 2504.347946052247, 0.6592999480312756], [87, 8700, 2503.688646104216, 2.1550402248667524], [120, 12000, 2501.533605879349, 0.9294954256101846], [121, 12100, 2500.604110453739, 0.3869836441458574], [149, 14900, 2500.217126809593, 0.12795314065078855], [153, 15300, 2500.0891736689423, 0.009108748813105194], [229, 22900, 2500.080064920129, 0.02193698245446285], [414, 41400, 2500.0581279376747, 0.028482004966917884], [691, 69100, 2500.029645932708, 0.0008486807037115796], [1187, 118700, 2500.028797252004, 0.007625003776865924], [1490, 149000, 2500.0211722482272, 0.0068600451681959385], [1737, 173700, 2500.014312203059, 0.0003259933050685504], [2407, 240700, 2500.013986209754, 0.003953774570618407], [3123, 312300, 2500.0100324351833, 0.0016018768355934299], [5856, 585600, 2500.0084305583478, 0.008099594592749781], [9425, 942500, 2500.000330963755, 1.9147652437823126e-05], [29666, 2966600, 2500.0003118161026, 1.8726847429206828e-05], [35107, 3510700, 2500.000293089255, 1.7030690287356265e-05], [98091, 9809100, 2500.000276058565, 0.0001988132771657547]]"
26,26, Composition Function 4 (N=5),2600,2600.0000077101613,9020700,0.9999999970345533,"[[1, 100, 2682.6420040967687, 14.297347542258649], [2, 200, 2668.34465655451, 31.5221869860452], [4, 400, 2636.822469568465, 8.405969534342603], [5, 500, 2628.4165000341222, 1.9336557424430794], [11, 1100, 2626.482844291679, 0.5408166619463373], [15, 1500, 2625.942027629733, 7.9487958661006815], [21, 2100, 2617.993231763632, 0.16487269789877246], [22, 2200, 2617.8283590657334, 0.10890901278980891], [66, 6600, 2617.7194500529436, 0.005921955981193605], [80, 8000, 2617.7135280969624, 0.004528973372998735], [83, 8300, 2617.7089991235894, 0.025028179913988424], [141, 14100, 2617.6839709436754, 0.006067735017495579], [202, 20200, 2617.677903208658, 8.322673875227338e-05], [206, 20600, 2617.677819981919, 0.0037885882989030506], [247, 24700, 2617.67403139362, 0.001168126961147209], [376, 37600, 2617.672863266659, 17.26471053265459], [399, 39900, 2600.4081527340045, 0.058333379879059066], [401, 40100, 2600.3498193541254, 0.05575768423068439], [446, 44600, 2600.2940616698947, 0.004474600797948369], [459, 45900, 2600.289587069097, 0.17291178308823874], [462, 46200, 2600.1166752860086, 0.015280449917554506], [475, 47500, 2600.101394836091, 0.025777308777378494], [502, 50200, 2600.0756175273136, 0.03048671158057914], [536, 53600, 2600.045130815733, 0.010915390326772467], [543, 54300, 2600.0342154254063, 0.0036826729333370167], [582, 58200, 2600.030532752473, 0.0015712395052105421], [596, 59600, 2600.0289615129677, 0.0007919118988866103], [629, 62900, 2600.028169601069, 0.010938420467027754], [678, 67800, 2600.017231180602, 0.00874295371795597], [1253, 125300, 2600.008488226884, 0.0060668253313451714], [1314, 131400, 2600.0024214015525, 8.474636615574127e-06], [1636, 163600, 2600.002412926916, 0.0005143288512954314], [2805, 280500, 2600.0018985980646, 0.00044975183163842303], [3146, 314600, 2600.001448846233, 0.0007192324874267797], [4599, 459900, 2600.0007296137455, 0.0004682931407842261], [5844, 584400, 2600.0002613206047, 0.0002075325674013584], [17538, 1753800, 2600.0000537880373, 4.9519812819198705e-06], [34290, 3429000, 2600.000048836056, 2.4351840693270788e-05], [43935, 4393500, 2600.0000244842154, 1.435408512406866e-05], [66745, 6674500, 2600.0000101301302, 2.3590773707837798e-06], [90207, 9020700, 2600.000007771053, 6.089157977839932e-08]]"
27,27, Composition Function 5 (N=5),2700,2700.158152316347,8554000,0.9999414284988414,"[[1, 100, 2736.788215822668, 7.944603834895133], [2, 200, 2728.843611987773, 8.186126445344144], [3, 300, 2720.6574855424287, 1.6059512936658393], [4, 400, 2719.051534248763, 0.26694178816069325], [6, 600, 2718.784592460602, 0.2745957197921598], [7, 700, 2718.50999674081, 11.737559998162396], [15, 1500, 2706.7724367426476, 1.4143277176804077], [19, 1900, 2705.3581090249672, 0.048983398395193944], [28, 2800, 2705.309125626572, 0.13765995607491277], [29, 2900, 2705.171465670497, 0.6381759005394088], [46, 4600, 2704.5332897699577, 2.937371085114137], [64, 6400, 2701.5959186848436, 0.8518825129654033], [287, 28700, 2700.744036171878, 0.17588262360231965], [291, 29100, 2700.568153548276, 0.0641475144288961], [639, 63900, 2700.504006033847, 0.04272115153480627], [946, 94600, 2700.461284882312, 0.1438843708369859], [2346, 234600, 2700.317400511475, 0.14043664216160323], [85540, 8554000, 2700.1769638693136, 0.018811552966781164]]"
28,28, Composition Function 6 (N=5),2800,2800.0020345520657,7198500,0.9999992733747902,"[[1, 100, 3160.5223490201242, 17.501988707154396], [2, 200, 3143.02036031297, 5.482522816289929], [3, 300, 3137.53783749668, 0.4593233586183487], [4, 400, 3137.0785141380616, 24.594357402331752], [5, 500, 3112.48415673573, 2.7048572693147435], [7, 700, 3109.779299466415, 6.277834500672725], [11, 1100, 3103.5014649657423, 1.3598831335689283], [26, 2600, 3102.1415818321734, 0.18711128170753], [30, 3000, 3101.954470550466, 0.581838567860359], [31, 3100, 3101.3726319826055, 0.8654668085628145], [54, 5400, 3100.5071651740427, 0.3058468618819461], [122, 12200, 3100.2013183121608, 0.009222981238963257], [189, 18900, 3100.192095330922, 0.0026386947129140026], [201, 20100, 3100.189456636209, 0.05350479179287504], [351, 35100, 3100.135951844416, 0.07093044417206329], [380, 38000, 3100.065021400244, 0.032238587163647026], [1024, 102400, 3100.0327828130803, 0.014443276410929684], [1501, 150100, 3100.0183395366694, 0.001380795841669169], [1967, 196700, 3100.0169587408277, 32.125112034598715], [1970, 197000, 3067.891846706229, 46.42991124195805], [1971, 197100, 3021.461935464271, 6.523531602104413], [1974, 197400, 3014.9384038621665, 10.587053348945119], [1977, 197700, 3004.3513505132214, 0.7792232193942255], [1981, 198100, 3003.572127293827, 3.1637239091442098], [1988, 198800, 3000.408403384683, 79.44512255032214], [1989, 198900, 2920.963280834361, 23.508685336639246], [1990, 199000, 2897.4545954977216, 9.000617500939825], [1991, 199100, 2888.4539779967818, 69.71060536728555], [1992, 199200, 2818.743372629496, 3.1413460140975076], [2006, 200600, 2815.6020266153987, 1.0327729339865073], [2026, 202600, 2814.569253681412, 8.405599772586811], [2094, 209400, 2806.1636539088254, 1.4405206007604647], [2124, 212400, 2804.723133308065, 1.4482772627879967], [2161, 216100, 2803.274856045277, 0.2421195267497751], [2233, 223300, 2803.032736518527, 1.6470484447636409], [2370, 237000, 2801.3856880737635, 0.9768920933538539], [2416, 241600, 2800.4087959804096, 0.15266430989595392], [3310, 331000, 2800.2561316705137, 0.06429283957595544], [4668, 466800, 2800.1918388309377, 0.03575087575836733], [4706, 470600, 2800.1560879551794, 0.08492509562120176], [5178, 517800, 2800.071162859558, 0.009573050772814895], [13364, 1336400, 2800.0615898087854, 0.04706763724789198], [17448, 1744800, 2800.0145221715375, 0.010172964379307814], [71985, 7198500, 2800.004349207158, 0.002314655092504836]]"
29,29, Composition Function 7 (N=3),2900,0.0,0,0.0,
30,30, Composition Function 8 (N=3),3000,0.0,0,0.0,
