Index,Index,Function Name,Global Minimal,Best Fitness,Number of Evaluations,Closeness to Global Minimal,log
11,11, Shifted and Rotated Schwefel's Function,1100,1100.000000075667,9948600,0.9999999999312118,"[[2, 200, 1214.3819983688863, 94.3421431173631], [4, 400, 1120.0398552515232, 2.1888070036986846], [11, 1100, 1117.8510482478246, 0.6641780172597009], [13, 1300, 1117.1868702305649, 0.14784162859427852], [15, 1500, 1117.0390286019706, 0.0983232963512819], [81, 8100, 1116.9407053056193, 0.018934941299448838], [92, 9200, 1116.9217703643199, 0.10515573916450194], [154, 15400, 1116.8166146251554, 0.05756252326341382], [160, 16000, 1116.759052101892, 8.866593598468398], [168, 16800, 1107.8924585034235, 5.908140563215966], [187, 18700, 1101.9843179402076, 0.6005381413626765], [193, 19300, 1101.383779798845, 0.8055240318367396], [194, 19400, 1100.5782557670082, 0.21546098218664156], [231, 23100, 1100.3627947848215, 0.0011192493789167202], [261, 26100, 1100.3616755354426, 0.007736135744153216], [327, 32700, 1100.3539393996984, 0.0010442161353694246], [352, 35200, 1100.352895183563, 0.013875622042405666], [355, 35500, 1100.3390195615207, 0.013797831458532528], [417, 41700, 1100.3252217300621, 0.003724224087818584], [572, 57200, 1100.3214975059743, 0.009121194073713923], [668, 66800, 1100.3123763119006, 0.00011852403213197249], [2319, 231900, 1100.3122577878685, 1.2042731668771012e-05], [2513, 251300, 1100.3122457451368, 2.2460287482317653e-05], [2857, 285700, 1100.3122232848493, 1.941063578669855e-05], [5894, 589400, 1100.3122038742135, 1.9112167365165078e-05], [8339, 833900, 1100.3121847620462, 1.699053655102034e-06], [9905, 990500, 1100.3121830629925, 7.060358711896697e-06], [12468, 1246800, 1100.3121760026338, 1.7816325907915598e-06], [19233, 1923300, 1100.3121742210012, 7.424669092870317e-07], [38563, 3856300, 1100.3121734785343, 8.295364750665613e-08], [38587, 3858700, 1100.3121733955807, 4.503135642153211e-08], [52398, 5239800, 1100.3121733505493, 0.12682584758772464], [52405, 5240500, 1100.1853475029616, 0.031181748735889414], [52426, 5242600, 1100.1541657542257, 0.05951539413695173], [52450, 5245000, 1100.0946503600887, 0.08968057122729078], [52822, 5282200, 1100.0049697888614, 0.0043178177727440925], [53275, 5327500, 1100.0006519710887, 0.00019749228590626444], [53709, 5370900, 1100.0004544788028, 6.680874344056065e-05], [54230, 5423000, 1100.0003876700594, 6.222440333658597e-05], [54429, 5442900, 1100.000325445656, 0.0003088114835918532], [54776, 5477600, 1100.0000166341724, 1.4804769307374954e-05], [57186, 5718600, 1100.0000018294031, 3.0164073905325495e-08], [75203, 7520300, 1100.000001799239, 1.539356162538752e-06], [83663, 8366300, 1100.0000002598829, 1.1414590517233592e-07], [99486, 9948600, 1100.000000145737, 7.006997293501627e-08]]"
12,12, Shifted and Rotated Katsuura Function,1200,1200.025037616416,4219200,0.9999791357549791,"[[1, 100, 1203.3994159367794, 0.9149895704636037], [7, 700, 1202.4844263663158, 1.206355951924479], [20, 2000, 1201.2780704143913, 0.36186817404563953], [48, 4800, 1200.9162022403457, 0.1024663620123647], [49, 4900, 1200.8137358783333, 0.38746079604879924], [514, 51400, 1200.4262750822845, 0.029469715322420598], [923, 92300, 1200.396805366962, 0.03246056313969348], [944, 94400, 1200.3643448038224, 0.0009965888993974659], [964, 96400, 1200.363348214923, 0.011576316049968227], [1131, 113100, 1200.351771898873, 0.021942330742831473], [1228, 122800, 1200.3298295681302, 0.02457746316281373], [1341, 134100, 1200.3052521049674, 0.003452577460620887], [6950, 695000, 1200.3017995275068, 0.2013170162424558], [7652, 765200, 1200.1004825112643, 0.007482789499590581], [7908, 790800, 1200.0929997217647, 0.04257892925420492], [7981, 798100, 1200.0504207925105, 0.0033051625293865072], [8376, 837600, 1200.0471156299811, 0.009332499703987196], [8826, 882600, 1200.0377831302771, 0.00014718166039529024], [9321, 932100, 1200.0376359486168, 0.0020764483276707324], [9485, 948500, 1200.035559500289, 0.002410498823337548], [29959, 2995900, 1200.0331490014657, 0.0019915088912512147], [30703, 3070300, 1200.0311574925745, 0.004193061975229284], [30789, 3078900, 1200.0269644305993, 0.0009521452225271787], [42192, 4219200, 1200.0260122853767, 0.0009746689606799919]]"
13,13, Shifted and Rotated HappyCat Function,1300,1300.056658966019,1599600,0.9999564180794519,"[[1, 100, 1300.653545711497, 0.035876411406661646], [2, 200, 1300.6176693000903, 0.23942492468449927], [4, 400, 1300.3782443754058, 0.027555030255598467], [6, 600, 1300.3506893451502, 0.20118296664895752], [1087, 108700, 1300.1495063785012, 0.013212507303933307], [3180, 318000, 1300.1362938711973, 0.021381758744837498], [3519, 351900, 1300.1149121124524, 0.014625138436713314], [4990, 499000, 1300.1002869740157, 0.012589467464522386], [5933, 593300, 1300.0876975065512, 0.029521770590235974], [15996, 1599600, 1300.058175735961, 0.0015167699418725533]]"
14,14, Shifted and Rotated HGBat Function,1400,1400.0199844316023,1064300,0.9999857256097595,"[[8, 800, 1400.2309266464808, 0.0211978459576585], [14, 1400, 1400.2097288005232, 0.04551180067073801], [15, 1500, 1400.1642169998524, 0.0074429907708690735], [16, 1600, 1400.1567740090816, 0.07233691223450478], [37, 3700, 1400.084437096847, 0.01447525955927631], [130, 13000, 1400.0699618372878, 0.011431066237491905], [148, 14800, 1400.0585307710503, 0.003790827595821611], [158, 15800, 1400.0547399434545, 0.025789572903477165], [786, 78600, 1400.028950370551, 0.001691927329147802], [880, 88000, 1400.0272584432219, 0.00180657005807916], [1188, 118800, 1400.0254518731638, 0.0008654521191147069], [2320, 232000, 1400.0245864210447, 7.262308167810261e-05], [6349, 634900, 1400.024513797963, 0.000871749703264868], [7579, 757900, 1400.0236420482597, 0.002763653956435519], [10643, 1064300, 1400.0208783943033, 0.000893962700956763]]"
15,15, Shifted and Rotated Expanded Griewank's plus Rosenbrock's Function,1500,1500.0,586900,1.0,"[[2, 200, 1500.539659514511, 0.383113230407389], [6, 600, 1500.1565462841036, 0.03136071587164224], [9, 900, 1500.125185568232, 0.07341494286879424], [25, 2500, 1500.0517706253631, 0.041787211732525975], [32, 3200, 1500.0099834136306, 0.009574001692044476], [86, 8600, 1500.0004094119386, 8.746924095248687e-06], [105, 10500, 1500.0004006650145, 1.5407069895445602e-05], [106, 10600, 1500.0003852579446, 0.00023746468195895432], [107, 10700, 1500.0001477932626, 0.00012733119979202456], [108, 10800, 1500.0000204620628, 7.4352146839373745e-06], [122, 12200, 1500.0000130268481, 7.116771030268865e-07], [151, 15100, 1500.000012315171, 5.747624754803837e-06], [179, 17900, 1500.0000065675463, 1.5518298823735677e-06], [252, 25200, 1500.0000050157164, 3.0077408155193552e-06], [354, 35400, 1500.0000020079756, 9.641673841542797e-07], [400, 40000, 1500.0000010438082, 1.6170361050171778e-08], [537, 53700, 1500.0000010276378, 7.936641850392334e-07], [617, 61700, 1500.0000002339737, 9.217819751938805e-08], [801, 80100, 1500.0000001417955, 1.16568799057859e-07], [830, 83000, 1500.0000000252267, 1.8474111129762605e-09], [1178, 117800, 1500.0000000233792, 2.2339690985972993e-08], [1474, 147400, 1500.0000000010396, 8.967617759481072e-10], [1586, 158600, 1500.0000000001428, 8.844835974741727e-11], [1868, 186800, 1500.0000000000543, 5.002220859751105e-11], [1883, 188300, 1500.0000000000043, 3.865352482534945e-12], [4377, 437700, 1500.0000000000005, 2.2737367544323206e-13], [5869, 586900, 1500.0000000000002, 2.2737367544323206e-13]]"
16,16, Shifted and Rotated Expanded Scaffer's F6 Function,1600,1600.019431819755,9404400,0.9999878552601497,"[[2, 200, 1600.4917484684977, 0.07790020762809036], [3, 300, 1600.4138482608696, 0.054239680133832735], [4, 400, 1600.3596085807358, 0.0021359783531806897], [5, 500, 1600.3574726023826, 0.09706858181039024], [8, 800, 1600.2604040205722, 0.1777441151837138], [10, 1000, 1600.0826599053885, 0.04999457731878465], [23, 2300, 1600.0326653280697, 1.6556832861169823e-05], [24, 2400, 1600.0326487712368, 0.006196140057454613], [50, 5000, 1600.0264526311794, 0.0017967186222449527], [76, 7600, 1600.0246559125571, 0.004675691887769062], [108, 10800, 1600.0199802206694, 0.0004068780124271143], [189, 18900, 1600.019573342657, 4.763683114106243e-05], [196, 19600, 1600.0195257058258, 8.71000552251644e-05], [199, 19900, 1600.0194386057706, 5.535882110052626e-06], [654, 65400, 1600.0194330698885, 9.923244306264678e-07], [2668, 266800, 1600.019432077564, 1.9814092411252204e-07], [11957, 1195700, 1600.019431879423, 2.936167220468633e-08], [12845, 1284500, 1600.0194318500614, 2.0649167709052563e-08], [14193, 1419300, 1600.0194318294123, 3.235527401557192e-10], [16709, 1670900, 1600.0194318290887, 5.134324965183623e-09], [39007, 3900700, 1600.0194318239544, 3.598870534915477e-09], [39244, 3924400, 1600.0194318203555, 5.675246939063072e-10], [76079, 7607900, 1600.019431819788, 1.2050804798491299e-11], [94044, 9404400, 1600.019431819776, 2.091837814077735e-11]]"
17,17, Hybrid Function 1 (N=3),1700,0.0,0,0.0,
18,18, Hybrid Function 2 (N=3),1800,0.0,0,0.0,
19,19, Hybrid Function 3 (N=4),1900,0.0,0,0.0,
20,20, Hybrid Function 4 (N=4),2000,0.0,0,0.0,
